city,lat,lng,admin_name,population,population_proper
Yawatahama-shi,33.4631,132.4233,Ehime,32238,32238
Yashiki,32.7914,130.8164,Kumamoto,32218,32218
Komagane,35.7289,137.9339,Nagano,32197,32197
Maebara,35.1142,140.0989,Chiba,32196,32196
Ayabe,35.2989,135.2586,Kyōto,32164,32164
Zentsujichó,34.2283,133.7872,Kagawa,32073,32073
Shimizuchō,35.0992,138.9028,Shizuoka,31974,31974
Shima,39.5547,141.1678,Iwate,31969,31969
Katagami,39.8833,139.9889,Akita,31923,31923
Ōyama,35.2719,139.5864,Kanagawa,31683,31683
Yaita,36.8067,139.9242,Tochigi,31617,31617
Kanzakimachi-kanzaki,33.3108,130.3731,Saga,31365,31365
Yunoshima,35.8058,137.2442,Gifu,31316,31316
Ōiso,35.3069,139.3114,Kanagawa,31284,31284
Ōno,35.9806,136.4875,Fukui,31264,31264
Omaezaki,34.6381,138.1281,Shizuoka,31262,31262
Tsuruno,40.8089,140.38,Aomori,31089,31089
Tawaramoto,34.5567,135.795,Nara,31028,31028
Kaminokawa,36.4392,139.91,Tochigi,30964,30964
Sasaguri,33.6156,130.5511,Fukuoka,30886,30886
Hirakawachō,40.5842,140.5664,Aomori,30822,30822
Shimotoba,34.8839,135.6628,Kyōto,30797,30797
Motomiya,37.5133,140.3939,Fukushima,30546,30546
Masaki,33.7875,132.7114,Ehime,29832,29832
Hanawa,40.2158,140.7883,Akita,29727,29727
Hirado,33.3681,129.5539,Nagasaki,29577,29577
Nirasaki,35.7089,138.4464,Yamanashi,29576,29576
Kaita,34.3722,132.5361,Hiroshima,29431,29431
Togitsu,32.8289,129.8486,Nagasaki,29375,29375
Ogawa,36.0567,139.2619,Saitama,29137,29137
Oyabe,36.6833,136.8667,Toyama,29081,29081
Aioi,34.8036,134.4681,Hyōgo,28971,28971
Matsubushi,35.9258,139.8153,Saitama,28953,28953
Yoshinaga,34.7708,138.2519,Shizuoka,28899,28899
Kakuda,37.9772,140.7819,Miyagi,28623,28623
Tainai,38.0667,139.4167,Niigata,28610,28610
Ōuda-yamaguchi,34.5278,135.9525,Nara,28568,28568
Obama,35.4956,135.7467,Fukui,28538,28538
Gojō,34.3528,135.6989,Nara,28519,28519
Kitsuki,33.4169,131.6161,Ōita,28476,28476
Sue,33.5872,130.5072,Fukuoka,28377,28377
Niimi,34.9772,133.4703,Okayama,28327,28327
Chatan,26.32,127.7639,Okinawa,28270,28270
Honchō,41.8958,140.6944,Hokkaidō,28080,28080
Kizuki,33.85,130.7,Fukuoka,28002,28002
Hiji,33.3694,131.5325,Ōita,27947,27947
Takahagi,36.7136,140.7097,Ibaraki,27863,27863
Ikata-chō,33.4883,132.3542,Ehime,8540,8540
Kozakai-chō,34.8,137.3589,Aichi,,
Uchimaru,40.5144,141.4927,Aomori,,
Onagawa Chō,38.4449,141.4327,Miyagi,,
Furudate,40.5293,141.3055,Aomori,,
Tsugaru,40.808722,140.380056,Aomori,"31,723","31,723"
Hirosaki,40.603111,140.463833,Aomori,"168,739","168,739"
Hiraizumi,38.986611,141.113833,Iwate,"7,408","7,408"
Kitaakita,40.226028,140.370806,Akita,"31,504","31,504"
