city,lat,lng,admin_name,population,population_proper
Kure,34.2492,132.5658,Hiroshima,218351,218351
Ashino,42.975,144.3747,Hokkaidō,198566,183612
Itami,34.7867,135.4056,Hyōgo,198395,198395
Yachiyo,35.7225,140.0997,Chiba,197792,197792
Higashi-Hiroshima,34.4167,132.7333,Hiroshima,195805,195805
Suzuka,34.8822,136.5842,Mie,195762,195762
Naka,37.4504,138.86,Niigata,195318,179802
Kumagaya,36.1472,139.3886,Saitama,194959,194959
Nagareyama,35.8561,139.9025,Saitama,193976,193976
Kamirenjaku,35.6833,139.5594,Tōkyō,192489,192489
Kawara,35.2647,139.1522,Kanagawa,190109,190109
Hino,35.6714,139.395,Tōkyō,189945,189945
Jōetsu,37.15,138.2333,Niigata,189881,189881
Anjōmachi,34.9667,137.0833,Aichi,188181,188181
Izuo,34.4836,135.4236,Ōsaka,185208,185208
Toyokawa,34.8268,137.3759,Aichi,183823,183823
Uji,34.8808,135.7794,Kyōto,180975,180975
Tachikawa,35.6939,139.4194,Tōkyō,180880,180880
Hitachi,36.6,140.65,Ibaraki,176069,176069
Ōbiraki,40.57,140.47,Aomori,174972,168429
Takaoka,42.6504,141.55,Hokkaidō,174806,147905
Beppuchō,42.9304,143.17,Hokkaidō,173890,165338
Narashino,35.6808,140.0267,Chiba,173716,173716
Izumo,35.3681,132.755,Shimane,172784,172784
Sakura,35.7239,140.2239,Chiba,170906,170906
Nishio,34.8667,137.0667,Aichi,169926,169926
Takaoka,36.75,137.0333,Toyama,167800,167800
Oyama,36.3147,139.8003,Tochigi,167633,167633
Iwata,34.7178,137.8514,Shizuoka,166393,166393
Ube,33.9517,131.2467,Yamaguchi,164325,164325
Niiza,35.7933,139.5653,Saitama,164083,164083
Matsuzaka,34.5781,136.5275,Mie,160080,160080
Ōgaki,35.3594,136.6128,Gifu,158911,158911
Tochigi,36.3824,139.7341,Tochigi,155714,155714
Hitachi-Naka,36.3964,140.5344,Ibaraki,155680,155680
Ueda,36.4019,138.2492,Nagano,154201,154201
Daiwanishi,34.83,135.4172,Hyōgo,153597,153597
Kariya,34.9833,137,Aichi,153190,153190
Noda,35.955,139.8747,Chiba,152652,152652
Imabari,34.0661,132.9978,Ehime,151956,151956
Kukichūō,36.0622,139.6669,Saitama,151106,151106
Higashi-murayama,35.7547,139.4686,Tōkyō,150186,150186
Sayama,35.8531,139.4122,Saitama,149423,149423
Komaki,35.2833,136.9167,Aichi,148709,148709
Tama,35.6333,139.45,Tōkyō,147832,147832
Yonago,35.4281,133.3311,Tottori,147667,147667
Iruma,35.8358,139.3911,Saitama,146802,146802
Kakamigahara,35.3989,136.8486,Gifu,144335,144335
Fukayachō,36.2,139.2833,Saitama,141966,141966
Kusatsu,35.0167,135.9667,Shiga,141928,141928
Shimotoda,35.8175,139.6778,Saitama,141724,141724
Misato,35.8303,139.8725,Saitama,141514,141514
Ishizaki,38.4281,141.3061,Miyagi,141293,141293
Kuwana,35.0622,136.6839,Mie,139587,139587
Koga,36.1833,139.7,Ibaraki,139274,139274
Tsuchiura,36.0667,140.2,Ibaraki,138517,138517
Yaizu,34.8667,138.3167,Shizuoka,136807,136807
Kisarazu,35.3761,139.9169,Chiba,135765,135765
Inazawa,35.25,136.7833,Aichi,135676,135676
Isahaya,32.8442,130.0536,Nagasaki,134503,134503
Ōme,35.7883,139.275,Tōkyō,133824,133824
Onomichi,34.4089,133.205,Hiroshima,132675,132675
Abiko,35.8642,140.0282,Chiba,131026,131026
Zama,35.4886,139.4075,Kanagawa,130608,130608
Iwakuni,34.1669,132.2197,Yamaguchi,130372,130372
Ōmiyachō,35.2222,138.6214,Shizuoka,128501,128501
Kokubunji,35.7108,139.4622,Tōkyō,127790,127790
Seto,35.2167,137.0833,Aichi,127653,127653
Iizuka,33.6458,130.6914,Fukuoka,126715,126715
Ise,34.4833,136.7167,Mie,123783,123783
Honmachi,32.5178,130.6181,Kumamoto,123758,123758
Tsuruoka,38.7217,139.8217,Yamagata,123437,123437
Kashiwara,34.5094,135.7925,Nara,122003,122003
Yonashiro-teruma,26.3792,127.8575,Okinawa,121294,121294
Daitōchō,34.7119,135.6233,Ōsaka,119986,119986
Kadoma,34.7333,135.5833,Ōsaka,119692,119692
Ebetsu,43.1039,141.5361,Hokkaidō,119509,119509
Nobeoka,32.5822,131.665,Miyazaki,119309,119309
Beppu,33.2847,131.4911,Ōita,118499,118499
Handa,34.8992,136.9267,Aichi,118145,118145
Kōnosu,36.0658,139.5222,Saitama,117373,117373
Kōenchō,43.8081,143.8942,Hokkaidō,116848,116848
Ikoma,34.6919,135.7006,Nara,116816,116816
Honchō,35.7581,139.5297,Tōkyō,116482,116482
Niihama,33.9603,133.2834,Ehime,116392,116392
Nasushiobara,36.9617,140.0461,Tochigi,116043,116043
Sano,36.3144,139.5783,Tochigi,115784,115784
Nagahama,35.3833,136.2833,Shiga,115069,115069
Hatsukaichi,34.3486,132.3317,Hiroshima,114975,114975
Otaru,43.1833,141,Hokkaidō,114947,114947
Hōfu,34.05,131.5667,Yamaguchi,114256,114256
Ōshū,39.1444,141.1389,Iwate,114246,114246
Hikone,35.2744,136.2597,Shiga,113818,113818
Higashiōmi,35.1128,136.2078,Shiga,113165,113165
Fujimino,35.8794,139.5197,Saitama,112689,112689
Akishima,35.7056,139.3536,Tōkyō,112005,112005
Kazo,36.1314,139.6019,Saitama,110921,110921
Sandachō,34.8894,135.2253,Hyōgo,110820,110820
Shirayamamachi,36.5144,136.5656,Ishikawa,110188,110188
Tondabayashichō,34.4992,135.5972,Ōsaka,110132,110132
Habikino,34.5578,135.6061,Ōsaka,109553,109553
Kamagaya,35.7769,140.0008,Chiba,109525,109525
Mineshita,35.1186,138.9186,Shizuoka,108118,108118
Tajimi,35.3328,137.1322,Gifu,107535,107535
